sup_dist,zip_code,data_as_of,data_loaded_at
3,94133,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94102,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94104,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94105,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94108,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94109,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94111,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
3,94123,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94133,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94102,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94109,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94115,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94117,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94118,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94121,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94123,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
2,94129,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
1,94117,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
1,94118,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
1,94121,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
1,94122,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
1,94129,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
5,94102,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
5,94109,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
5,94114,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
5,94115,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
5,94117,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
5,94122,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94102,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94158,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94103,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94104,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94105,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94107,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94108,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94111,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
6,94130,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94127,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94131,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94102,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94103,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94110,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94112,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94114,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94117,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
8,94122,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94127,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94131,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94132,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94112,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94114,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94116,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94117,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94118,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
7,94122,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
4,94132,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
4,94116,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
4,94121,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
4,94122,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
9,94124,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
9,94134,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
9,94103,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
9,94107,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
9,94110,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
9,94112,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94124,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94134,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94158,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94103,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94107,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94110,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
10,94112,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
11,94127,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
11,94131,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
11,94132,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
11,94134,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
11,94110,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
11,94112,2023/06/20 08:51:50 PM +0000,2023/06/23 06:25:17 PM +0000
